case_name,num_companies,total_vehicles,total_clients,total_volume,avg_vehicle_capacity,time_windows,volumes,pickup_windows,dropoff_windows,companies,avg_time_window,avg_volume,avg_pickup_window,avg_dropoff_window
case_1,3,6,12,35,12.166666666666666,"[32, 22, 31, 24, 33, 30, 27, 42, 37, 28, 47, 27]","[2, 3, 4, 4, 4, 2, 3, 2, 3, 2, 3, 3]","[16, 11, 16, 11, 19, 11, 13, 21, 23, 17, 22, 12]","[16, 11, 15, 13, 14, 19, 14, 21, 14, 11, 25, 15]","[{'company_id': 0, 'num_vehicles': 2, 'num_clients': 4, 'total_volume': 13, 'vehicle_capacity': 28}, {'company_id': 1, 'num_vehicles': 2, 'num_clients': 4, 'total_volume': 11, 'vehicle_capacity': 22}, {'company_id': 2, 'num_vehicles': 2, 'num_clients': 4, 'total_volume': 11, 'vehicle_capacity': 23}]",31.666666666666668,2.9166666666666665,16.0,15.666666666666666
case_2,3,7,15,39,14.285714285714286,"[30, 27, 30, 40, 38, 35, 25, 29, 47, 38, 38, 31, 30, 48, 32]","[3, 2, 3, 2, 2, 3, 4, 2, 3, 2, 3, 4, 2, 2, 2]","[14, 17, 18, 23, 15, 17, 11, 11, 25, 15, 23, 14, 10, 25, 17]","[16, 10, 12, 17, 23, 18, 14, 18, 22, 23, 15, 17, 20, 23, 15]","[{'company_id': 0, 'num_vehicles': 4, 'num_clients': 5, 'total_volume': 12, 'vehicle_capacity': 59}, {'company_id': 1, 'num_vehicles': 2, 'num_clients': 5, 'total_volume': 14, 'vehicle_capacity': 29}, {'company_id': 2, 'num_vehicles': 1, 'num_clients': 5, 'total_volume': 13, 'vehicle_capacity': 12}]",34.53333333333333,2.6,17.0,17.533333333333335
case_3,3,8,18,58,10.5,"[35, 44, 39, 33, 37, 44, 35, 41, 43, 39, 35, 26, 33, 26, 28, 42, 39, 39]","[4, 4, 2, 4, 4, 2, 3, 4, 4, 4, 4, 3, 3, 2, 2, 4, 2, 3]","[14, 21, 20, 16, 18, 24, 17, 18, 20, 24, 15, 14, 10, 11, 10, 24, 24, 14]","[21, 23, 19, 17, 19, 20, 18, 23, 23, 15, 20, 12, 23, 15, 18, 18, 15, 25]","[{'company_id': 0, 'num_vehicles': 4, 'num_clients': 6, 'total_volume': 20, 'vehicle_capacity': 51}, {'company_id': 1, 'num_vehicles': 2, 'num_clients': 6, 'total_volume': 22, 'vehicle_capacity': 20}, {'company_id': 2, 'num_vehicles': 2, 'num_clients': 6, 'total_volume': 16, 'vehicle_capacity': 13}]",36.55555555555556,3.2222222222222223,17.444444444444443,19.11111111111111
case_4,4,8,16,50,8.625,"[40, 35, 39, 32, 41, 33, 43, 29, 21, 26, 38, 37, 29, 23, 26, 34]","[4, 2, 4, 2, 4, 2, 3, 4, 4, 4, 4, 2, 4, 2, 3, 2]","[17, 25, 23, 17, 20, 15, 25, 15, 11, 15, 13, 15, 14, 13, 14, 15]","[23, 10, 16, 15, 21, 18, 18, 14, 10, 11, 25, 22, 15, 10, 12, 19]","[{'company_id': 0, 'num_vehicles': 3, 'num_clients': 4, 'total_volume': 12, 'vehicle_capacity': 33}, {'company_id': 1, 'num_vehicles': 2, 'num_clients': 4, 'total_volume': 13, 'vehicle_capacity': 17}, {'company_id': 2, 'num_vehicles': 1, 'num_clients': 4, 'total_volume': 14, 'vehicle_capacity': 6}, {'company_id': 3, 'num_vehicles': 2, 'num_clients': 4, 'total_volume': 11, 'vehicle_capacity': 13}]",32.875,3.125,16.6875,16.1875
case_5,4,10,20,64,14.6,"[29, 34, 46, 35, 32, 25, 33, 36, 38, 42, 34, 33, 38, 49, 36, 24, 34, 36, 21, 28]","[4, 2, 4, 2, 4, 4, 2, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 4, 2, 2]","[18, 23, 21, 13, 17, 15, 12, 16, 13, 25, 18, 22, 21, 24, 16, 14, 10, 11, 11, 10]","[11, 11, 25, 22, 15, 10, 21, 20, 25, 17, 16, 11, 17, 25, 20, 10, 24, 25, 10, 18]","[{'company_id': 0, 'num_vehicles': 3, 'num_clients': 5, 'total_volume': 16, 'vehicle_capacity': 49}, {'company_id': 1, 'num_vehicles': 1, 'num_clients': 5, 'total_volume': 16, 'vehicle_capacity': 13}, {'company_id': 2, 'num_vehicles': 3, 'num_clients': 5, 'total_volume': 18, 'vehicle_capacity': 46}, {'company_id': 3, 'num_vehicles': 3, 'num_clients': 5, 'total_volume': 14, 'vehicle_capacity': 38}]",34.15,3.2,16.5,17.65
case_6,4,12,24,70,11.5,"[29, 38, 30, 31, 50, 39, 34, 37, 27, 31, 41, 36, 40, 38, 41, 23, 35, 33, 27, 32, 42, 31, 34, 35]","[3, 3, 4, 2, 2, 3, 4, 2, 3, 3, 3, 2, 4, 4, 3, 2, 4, 2, 2, 2, 2, 4, 4, 3]","[14, 23, 20, 11, 25, 22, 24, 19, 12, 14, 20, 25, 20, 19, 21, 12, 14, 17, 15, 12, 24, 19, 10, 22]","[15, 15, 10, 20, 25, 17, 10, 18, 15, 17, 21, 11, 20, 19, 20, 11, 21, 16, 12, 20, 18, 12, 24, 13]","[{'company_id': 0, 'num_vehicles': 3, 'num_clients': 6, 'total_volume': 17, 'vehicle_capacity': 39}, {'company_id': 1, 'num_vehicles': 4, 'num_clients': 6, 'total_volume': 17, 'vehicle_capacity': 43}, {'company_id': 2, 'num_vehicles': 2, 'num_clients': 6, 'total_volume': 19, 'vehicle_capacity': 24}, {'company_id': 3, 'num_vehicles': 3, 'num_clients': 6, 'total_volume': 17, 'vehicle_capacity': 32}]",34.75,2.9166666666666665,18.083333333333332,16.666666666666668
case_7,4,14,28,82,14.357142857142858,"[48, 39, 38, 32, 38, 38, 38, 44, 38, 33, 31, 35, 35, 30, 32, 42, 37, 33, 24, 37, 40, 39, 30, 21, 23, 37, 21, 40]","[2, 3, 3, 3, 2, 2, 4, 4, 4, 4, 3, 3, 2, 3, 4, 3, 3, 2, 2, 2, 3, 2, 2, 4, 4, 3, 3, 3]","[25, 19, 15, 14, 13, 19, 15, 19, 21, 21, 10, 18, 18, 15, 14, 23, 24, 15, 14, 17, 18, 24, 16, 10, 10, 24, 11, 25]","[23, 20, 23, 18, 25, 19, 23, 25, 17, 12, 21, 17, 17, 15, 18, 19, 13, 18, 10, 20, 22, 15, 14, 11, 13, 13, 10, 15]","[{'company_id': 0, 'num_vehicles': 1, 'num_clients': 7, 'total_volume': 19, 'vehicle_capacity': 20}, {'company_id': 1, 'num_vehicles': 2, 'num_clients': 7, 'total_volume': 23, 'vehicle_capacity': 30}, {'company_id': 2, 'num_vehicles': 8, 'num_clients': 7, 'total_volume': 19, 'vehicle_capacity': 111}, {'company_id': 3, 'num_vehicles': 3, 'num_clients': 7, 'total_volume': 21, 'vehicle_capacity': 40}]",34.75,2.9285714285714284,17.392857142857142,17.357142857142858
case_8,5,12,25,77,11.916666666666666,"[42, 34, 45, 34, 37, 38, 36, 33, 27, 30, 40, 29, 37, 33, 34, 36, 35, 29, 44, 30, 38, 28, 20, 27, 45]","[3, 4, 3, 4, 4, 2, 4, 2, 2, 3, 2, 4, 2, 3, 4, 4, 3, 3, 4, 2, 2, 4, 3, 4, 2]","[19, 13, 21, 20, 15, 24, 24, 13, 16, 20, 17, 17, 24, 14, 23, 25, 16, 11, 20, 18, 18, 14, 10, 15, 25]","[23, 21, 24, 14, 22, 14, 12, 20, 11, 10, 23, 12, 13, 19, 11, 11, 19, 18, 24, 12, 20, 14, 10, 12, 20]","[{'company_id': 0, 'num_vehicles': 3, 'num_clients': 5, 'total_volume': 18, 'vehicle_capacity': 38}, {'company_id': 1, 'num_vehicles': 5, 'num_clients': 5, 'total_volume': 13, 'vehicle_capacity': 56}, {'company_id': 2, 'num_vehicles': 1, 'num_clients': 5, 'total_volume': 15, 'vehicle_capacity': 8}, {'company_id': 3, 'num_vehicles': 1, 'num_clients': 5, 'total_volume': 16, 'vehicle_capacity': 7}, {'company_id': 4, 'num_vehicles': 2, 'num_clients': 5, 'total_volume': 15, 'vehicle_capacity': 34}]",34.44,3.08,18.08,16.36
case_9,5,15,30,99,13.933333333333334,"[46, 38, 46, 40, 25, 41, 44, 40, 28, 46, 38, 28, 25, 37, 38, 31, 30, 34, 40, 30, 32, 42, 31, 39, 30, 50, 34, 47, 31, 44]","[2, 4, 4, 4, 2, 4, 4, 3, 2, 4, 4, 4, 4, 4, 4, 3, 2, 2, 4, 4, 2, 4, 3, 2, 4, 4, 3, 2, 4, 3]","[23, 17, 21, 17, 10, 19, 25, 17, 18, 22, 22, 11, 10, 13, 15, 19, 19, 17, 19, 13, 12, 20, 19, 15, 16, 25, 19, 23, 12, 24]","[23, 21, 25, 23, 15, 22, 19, 23, 10, 24, 16, 17, 15, 24, 23, 12, 11, 17, 21, 17, 20, 22, 12, 24, 14, 25, 15, 24, 19, 20]","[{'company_id': 0, 'num_vehicles': 2, 'num_clients': 6, 'total_volume': 20, 'vehicle_capacity': 29}, {'company_id': 1, 'num_vehicles': 2, 'num_clients': 6, 'total_volume': 21, 'vehicle_capacity': 28}, {'company_id': 2, 'num_vehicles': 3, 'num_clients': 6, 'total_volume': 19, 'vehicle_capacity': 37}, {'company_id': 3, 'num_vehicles': 3, 'num_clients': 6, 'total_volume': 19, 'vehicle_capacity': 47}, {'company_id': 4, 'num_vehicles': 5, 'num_clients': 6, 'total_volume': 20, 'vehicle_capacity': 68}]",36.833333333333336,3.3,17.733333333333334,19.1
case_10,5,18,35,108,11.722222222222221,"[23, 39, 45, 38, 20, 28, 37, 29, 35, 33, 26, 35, 45, 33, 26, 32, 26, 28, 37, 37, 27, 36, 42, 42, 37, 38, 45, 40, 36, 32, 26, 25, 30, 32, 38]","[3, 4, 2, 3, 2, 4, 4, 3, 4, 4, 2, 4, 3, 4, 2, 3, 2, 3, 3, 4, 3, 2, 3, 2, 4, 4, 4, 4, 4, 2, 2, 3, 2, 3, 3]","[10, 21, 25, 25, 10, 15, 21, 12, 11, 11, 14, 10, 24, 14, 14, 16, 10, 10, 15, 18, 14, 11, 24, 17, 22, 18, 20, 17, 20, 13, 14, 13, 16, 15, 15]","[13, 18, 20, 13, 10, 13, 16, 17, 24, 22, 12, 25, 21, 19, 12, 16, 16, 18, 22, 19, 13, 25, 18, 25, 15, 20, 25, 23, 16, 19, 12, 12, 14, 17, 23]","[{'company_id': 0, 'num_vehicles': 6, 'num_clients': 7, 'total_volume': 22, 'vehicle_capacity': 49}, {'company_id': 1, 'num_vehicles': 4, 'num_clients': 7, 'total_volume': 24, 'vehicle_capacity': 38}, {'company_id': 2, 'num_vehicles': 3, 'num_clients': 7, 'total_volume': 20, 'vehicle_capacity': 42}, {'company_id': 3, 'num_vehicles': 2, 'num_clients': 7, 'total_volume': 23, 'vehicle_capacity': 29}, {'company_id': 4, 'num_vehicles': 3, 'num_clients': 7, 'total_volume': 19, 'vehicle_capacity': 53}]",33.65714285714286,3.085714285714286,15.857142857142858,17.8
